Crop,MinPH,MaxPH,MinTemp,MaxTemp,MinRain,MaxRain,MinHumidity,MaxHumidity,MinN,MaxN,MinP,MaxP,MinK,MaxK
quince,5.5,6.5,15,25,600,800,50,70,60,100,30,50,80,120
radish,6.0,7.0,15,25,400,600,50,70,60,100,30,50,70,100
raspberry,5.5,6.8,15,25,800,1200,60,80,60,100,30,50,100,150
red clover,6.0,7.0,15,25,500,700,50,70,80,120,30,50,100,150
rye,5.5,7.0,10,20,500,800,50,70,80,120,30,50,100,150
salad greens,6.0,7.0,15,25,400,600,60,70,100,150,50,80,150,200
sorghum,5.5,7.0,20,30,500,700,50,70,80,120,30,50,100,150
spearmint,6.0,7.0,15,25,400,600,50,60,50,80,30,50,70,100
spinach,6.0,7.0,15,25,400,600,60,70,100,150,50,80,150,200
starfruit,6.0,7.5,20,30,1000,1500,70,80,60,100,30,50,100,150
strawberry,5.5,6.5,15,25,800,1200,60,80,60,100,30,50,100,150
sunflower,6.0,7.5,20,30,500,800,50,70,60,100,30,50,80,120
sweet potato,5.5,6.5,20,30,800,1200,60,70,80,120,40,60,100,150
tangerine,5.5,6.5,15,25,1000,1500,60,80,60,100,30,50,100,150
tobacco,5.5,6.5,20,30,800,1200,50,70,80,120,40,60,100,150
tomato,6.0,7.0,15,25,500,700,60,70,100,150,50,70,150,200
turnip,6.0,7.0,15,25,400,600,50,70,80,120,30,50,70,100
vanilla,5.5,7.0,20,30,1500,2500,70,80,60,100,40,60,100,150
walnut,6.0,7.5,15,25,600,800,50,70,60,100,30,50,80,120
watermelon,6.0,7.0,20,30,500,800,60,70,60,100,30,50,80,120
wheat,6.0,7.0,10,20,400,600,50,70,80,120,30,50,100,150
yam,5.5,6.5,20,30,800,1200,60,70,80,120,40,60,100,150
zucchini,6.0,7.0,20,30,500,700,60,70,60,100,30,50,80,120
alfalfa,6.5,7.5,15,25,400,800,50,70,80,120,40,60,100,150
almond,6.0,7.5,15,30,300,500,30,50,80,120,40,60,100,150
amaranth,6.0,7.0,15,25,500,700,60,70,50,80,30,50,70,100
apple,6.0,7.0,15,25,800,1200,50,70,60,100,30,50,100,150
apricot,6.0,7.5,15,30,400,600,50,70,50,80,30,40,70,100
artichoke,6.5,7.5,15,25,600,1000,60,80,80,120,40,60,120,180
asparagus,7.0,8.0,15,25,400,600,50,70,80,120,40,60,100,150
avocado,6.0,7.0,15,25,1200,2000,60,80,80,120,50,70,150,200
banana,5.5,7.0,20,30,1500,2500,70,90,100,150,30,60,150,200
barley,6.0,7.0,10,25,500,800,50,70,60,100,30,50,80,120
basil,6.0,7.0,20,30,400,600,50,70,50,80,30,50,70,100
bean,6.0,7.0,15,25,500,800,60,70,60,100,30,50,80,120
beetroot,6.0,7.0,15,25,400,600,50,70,60,100,30,50,80,120
bell pepper,6.0,7.0,20,30,600,800,60,70,80,120,40,60,120,150
black gram,6.0,7.0,15,25,400,600,50,70,60,100,30,50,70,100
blackberry,6.0,7.0,15,25,800,1200,50,70,60,100,30,50,80,120
blueberry,4.5,5.5,15,25,800,1200,60,70,50,80,30,40,80,100
broccoli,6.0,7.0,15,20,400,600,70,80,150,200,50,100,200,250
buckwheat,5.5,6.5,15,25,400,600,50,70,60,100,30,50,70,100
cabbage,6.0,7.0,15,25,500,800,60,70,120,150,40,60,100,150
carrot,5.5,7.0,15,25,400,600,50,70,60,100,30,50,100,150
cantaloupe,6.0,7.5,20,30,500,800,50,70,60,100,20,40,80,120
cauliflower,6.0,7.5,15,25,400,600,70,80,120,160,40,60,150,200
celery,6.0,7.0,15,25,600,800,60,70,80,120,40,60,100,150
chickpea,6.0,7.0,15,25,400,600,50,70,80,120,30,50,70,100
chili pepper,6.0,7.0,20,30,400,600,50,70,80,120,30,50,100,150
clementine,5.5,7.0,15,25,1000,1500,60,80,60,100,30,50,100,150
coconut,6.0,8.0,20,30,2000,3000,70,90,80,120,40,60,150,200
corn,5.8,7.0,20,30,500,800,50,70,120,200,30,50,100,150
cranberry,4.5,5.5,15,25,800,1200,60,70,50,80,30,50,70,100
cucumber,5.5,7.0,15,25,600,800,60,70,80,120,30,50,100,150
custard apple,5.5,7.0,20,30,1000,1500,70,80,60,100,40,60,100,150
date,6.0,8.0,20,35,100,300,30,50,60,100,30,50,80,120
dragon fruit,5.5,7.0,20,30,600,800,60,70,80,120,40,60,100,150
durian,5.5,7.0,25,35,2000,3000,70,90,80,120,40,60,150,200
elderberry,5.5,7.0,15,25,800,1200,50,70,60,100,30,50,80,120
fennel,6.0,7.0,15,25,500,700,60,70,80,120,30,50,100,150
fig,6.0,7.5,20,30,800,1000,50,70,60,100,30,50,100,150
flax,6.0,7.0,10,25,400,600,50,70,60,100,30,50,70,100
garlic,6.0,7.0,12,24,600,800,50,70,100,150,50,60,100,150
ginger,5.5,6.5,20,30,1500,2000,70,80,80,120,40,60,100,150
grape,6.0,7.5,15,25,500,800,50,70,60,100,30,50,80,120
grapefruit,6.0,7.0,18,28,1000,1500,60,80,60,100,40,60,100,150
green bean,6.0,7.0,15,25,500,700,60,70,80,120,30,50,70,100
guava,5.5,7.0,20,30,1000,2000,70,80,60,100,40,60,100,150
hemp,6.0,7.5,15,25,500,800,50,70,100,150,50,60,100,150
honeydew,6.0,7.5,20,30,500,800,50,70,60,100,30,50,80,120
jackfruit,6.0,7.5,20,35,1500,2500,70,80,80,120,40,60,150,200
jabuticaba,4.5,6.5,20,30,1200,2000,60,80,60,100,30,50,100,150
kale,6.0,7.0,15,25,500,700,60,70,100,150,40,60,150,200
kiwi,6.0,6.8,15,25,1000,1500,60,80,60,100,30,50,100,150
kohlrabi,6.0,7.0,15,25,400,600,60,70,80,120,30,50,100,150
kumquat,5.5,7.0,15,25,800,1200,60,80,60,100,30,50,100,150
lavender,6.0,8.0,15,25,400,600,50,60,50,80,30,50,70,100
lemon,5.5,6.5,20,30,800,1200,60,80,80,120,40,60,100,150
lentil,6.0,7.0,15,25,400,600,50,70,80,120,30,50,70,100
lettuce,6.0,7.0,15,25,400,600,60,70,100,150,50,80,150,200
lime,5.5,6.5,20,30,1000,1500,60,80,80,120,40,60,100,150
loquat,5.5,7.0,15,25,800,1200,60,80,60,100,30,50,100,150
longan,5.5,7.0,20,30,1000,2000,70,80,60,100,30,50,100,150
lychee,5.5,7.0,20,30,1500,2500,70,80,60,100,30,50,100,150
mango,5.5,7.5,25,35,500,1000,70,80,80,120,40,60,150,200
mandarin,5.5,7.0,15,25,1000,1500,60,80,60,100,30,50,100,150
mulberry,6.0,7.5,15,25,800,1200,50,70,60,100,30,50,80,120
mung bean,6.0,7.0,15,25,400,600,50,70,80,120,30,50,70,100
mushroom,5.5,7.0,15,25,400,600,70,90,60,100,20,40,50,80
mustard,6.0,7.0,15,25,500,700,60,70,80,120,30,50,100,150
nectarine,6.0,7.5,15,30,600,800,50,70,60,100,30,50,80,120
okra,6.0,6.5,20,30,600,800,60,70,60,100,30,50,80,120
olive,6.0,8.0,15,25,400,600,50,70,60,100,30,50,100,150
onion,6.0,7.0,15,25,500,700,50,70,100,150,50,60,100,150
orange,5.5,7.0,15,25,1000,1500,60,80,60,100,30,50,100,150
oregano,6.0,7.0,15,25,400,600,50,60,50,80,30,50,70,100
papaya,5.5,7.0,20,30,1000,1500,60,80,80,120,40,60,100,150
parsnip,6.0,7.0,15,25,400,600,60,70,80,120,30,50,70,100
passion fruit,6.0,7.0,20,30,800,1200,70,80,60,100,30,50,100,150
pea,6.0,7.0,15,25,500,700,50,70,60,100,30,50,70,100
peach,6.0,7.5,15,25,600,800,50,70,60,100,30,50,80,120
pear,6.0,7.0,15,25,600,800,50,70,60,100,30,50,80,120
peppermint,6.0,7.0,15,25,400,600,50,60,50,80,30,50,70,100
persimmon,5.5,6.5,15,25,800,1200,60,70,60,100,30,50,80,120
pineapple,4.5,5.5,20,30,1000,1500,70,80,80,120,40,60,100,150
plum,6.0,7.5,15,25,600,800,50,70,60,100,30,50,80,120
pomegranate,5.5,7.0,15,30,500,800,50,60,60,100,30,50,80,120
potato,5.5,6.5,15,25,500,800,60,70,120,150,50,60,100,150
prickly pear,6.0,7.0,20,30,300,500,50,70,60,100,30,50,70,100
pumpkin,6.0,7.0,20,30,500,800,60,70,80,120,40,60,100,150
